ticker,bank_name,source_type,form_type,period_year,period_quarter,period_label,expected_doc_count,observed_doc_count,status,status_detail,storage_kind,local_refs,source_urls,manual_search_hint,notes
ALLY,Ally Financial Inc.,sec_filing,8-K,2024,2,2024_Q2,2,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072924000014/ally-20240507.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524099895/d816457d8k.htm,ALLY 8-K 2024 Q2,
ALLY,Ally Financial Inc.,sec_filing,8-K,2024,3,2024_Q3,4,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312524180000/d871251d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524181952/d851491d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524186217/d811425d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524208815/d885966d8k.htm,ALLY 8-K 2024 Q3,
ALLY,Ally Financial Inc.,sec_filing,8-K,2024,4,2024_Q4,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312524239217/d902588d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524265684/d879923d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312524271543/d916570d8k.htm,ALLY 8-K 2024 Q4,
ALLY,Ally Financial Inc.,sec_filing,8-K,2025,1,2025_Q1,2,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000119312525009950/d891549d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525045566/d840333d8k.htm,ALLY 8-K 2025 Q1,
ALLY,Ally Financial Inc.,sec_filing,8-K,2025,2,2025_Q2,3,0,missing,quarterly 8-K inventory compared to SEC filing list,local_file,,https://www.sec.gov/Archives/edgar/data/40729/000004072925000013/ally-20250506.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525083508/d906372d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525120823/d830195d8k.htm,ALLY 8-K 2025 Q2,
ALLY,Ally Financial Inc.,sec_filing,8-K,2025,3,2025_Q3,4,4,available,quarterly 8-K inventory compared to SEC filing list,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q3/primary-document.html | /Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q3_2/primary-document.html | /Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q3_3/primary-document.html | /Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q3_4/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000119312525160823/d931552d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525164447/d939767d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525165925/d92723d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525170540/d33724d8k.htm,ALLY 8-K 2025 Q3,
ALLY,Ally Financial Inc.,sec_filing,8-K,2025,4,2025_Q4,3,3,available,quarterly 8-K inventory compared to SEC filing list,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q4/primary-document.html | /Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q4_2/primary-document.html | /Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2025_Q4_3/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000119312525241967/d50905d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525312845/d940840d8k.htm | https://www.sec.gov/Archives/edgar/data/40729/000119312525313483/d937156d8k.htm,ALLY 8-K 2025 Q4,
ALLY,Ally Financial Inc.,sec_filing,8-K,2026,1,2026_Q1,1,1,available,quarterly 8-K inventory compared to SEC filing list,zip_member,/Users/omtailor/BUFN403_Capstone/10K_10Q_8K_DEF14A_combined_data.zip::data/sec-edgar-filings/ALLY/8-K/ALLY_8-K_2026_Q1/primary-document.html,https://www.sec.gov/Archives/edgar/data/40729/000119312526017242/d101102d8k.htm,ALLY 8-K 2026 Q1,
ALLY,Ally Financial Inc.,mra_mria,mra_mria,,,all_periods,,0,not_public,no public MRA/MRIA document located,local_file,,,Ally Financial Inc. MRA MRIA supervisory letter AI,MRA/MRIA inventory has no fixed expected count
ASB,Associated Banc-Corp,transcript,transcript,2024,1,2024_Q1,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2024_Q1.txt,,Associated Banc-Corp earnings call transcript 2024 Q1,
ASB,Associated Banc-Corp,transcript,transcript,2024,2,2024_Q2,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2024_Q2.txt,,Associated Banc-Corp earnings call transcript 2024 Q2,
ASB,Associated Banc-Corp,transcript,transcript,2024,3,2024_Q3,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2024_Q3.txt,,Associated Banc-Corp earnings call transcript 2024 Q3,
ASB,Associated Banc-Corp,transcript,transcript,2024,4,2024_Q4,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2024_Q4.txt,,Associated Banc-Corp earnings call transcript 2024 Q4,
ASB,Associated Banc-Corp,transcript,transcript,2025,1,2025_Q1,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2025_Q1.txt,,Associated Banc-Corp earnings call transcript 2025 Q1,
ASB,Associated Banc-Corp,transcript,transcript,2025,2,2025_Q2,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2025_Q2.txt,,Associated Banc-Corp earnings call transcript 2025 Q2,
ASB,Associated Banc-Corp,transcript,transcript,2025,3,2025_Q3,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2025_Q3.txt,,Associated Banc-Corp earnings call transcript 2025 Q3,
ASB,Associated Banc-Corp,transcript,transcript,2025,4,2025_Q4,1,1,available,transcript present,zip_member,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ASB_2025_Q4.txt,,Associated Banc-Corp earnings call transcript 2025 Q4,
ASB,Associated Banc-Corp,call_report,call_report,2024,1,2024_Q1,1,0,not_public,call report not returned by FDIC API for requested quarter,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:11237,Associated Banc-Corp call report 2024 Q1,"Matched FDIC institution 'Associated Bank Menomonee Falls' / ASSOCIATED BANC-CORP (CERT 11237, confidence 1.0)"
ASB,Associated Banc-Corp,call_report,call_report,2024,2,2024_Q2,1,0,not_public,call report not returned by FDIC API for requested quarter,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:11237,Associated Banc-Corp call report 2024 Q2,"Matched FDIC institution 'Associated Bank Menomonee Falls' / ASSOCIATED BANC-CORP (CERT 11237, confidence 1.0)"
ASB,Associated Banc-Corp,call_report,call_report,2024,3,2024_Q3,1,0,not_public,call report not returned by FDIC API for requested quarter,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:11237,Associated Banc-Corp call report 2024 Q3,"Matched FDIC institution 'Associated Bank Menomonee Falls' / ASSOCIATED BANC-CORP (CERT 11237, confidence 1.0)"
ASB,Associated Banc-Corp,call_report,call_report,2024,4,2024_Q4,1,0,not_public,call report not returned by FDIC API for requested quarter,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:11237,Associated Banc-Corp call report 2024 Q4,"Matched FDIC institution 'Associated Bank Menomonee Falls' / ASSOCIATED BANC-CORP (CERT 11237, confidence 1.0)"
ASB,Associated Banc-Corp,call_report,call_report,2025,1,2025_Q1,1,0,not_public,call report not returned by FDIC API for requested quarter,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:11237,Associated Banc-Corp call report 2025 Q1,"Matched FDIC institution 'Associated Bank Menomonee Falls' / ASSOCIATED BANC-CORP (CERT 11237, confidence 1.0)"
ASB,Associated Banc-Corp,call_report,call_report,2025,2,2025_Q2,1,0,not_public,call report not returned by FDIC API for requested quarter,local_file,,https://api.fdic.gov/banks/financials?format=json&limit=200&sort_by=REPDTE&sort_order=DESC&filters=CERT:11237,Associated Banc-Corp call report 2025 Q2,"Matched FDIC institution 'Associated Bank Menomonee Falls' / ASSOCIATED BANC-CORP (CERT 11237, confidence 1.0)"
