bank_name,ticker,ai_current_period_label,ai_latest_value,ai_trailing_4q_value,ai_avg_breadth,ai_momentum,ai_avg_execution_share,ai_current_score,ai_current_rating,private_credit_current_period_label,private_credit_latest_value,private_credit_trailing_4q_value,private_credit_avg_breadth,private_credit_momentum,private_credit_avg_source_breadth,private_credit_current_score,private_credit_current_rating,risk_current_period_label,risk_current_score,risk_current_rating,ROA,ROE,NIMY,equity_assets_ratio,NCLNLSR,commercial_loan_90_plus_dpd_rate,nondepository_requested_rate,ASSET
Regions Financial Corp,RF,2025_Q4,0.0,206.0,1.5,-30.0,0.6394654088050314,50.74893617021276,3,2025_Q4,0.0,0.6,0.25,0.0,0.25,8.75128205128205,1,2025_Q4,52.93579931972789,3,1.4265579330816947,12.9,3.7147669881382988,11.421582879318409,0.9955993882837614,0.016064100058628104,0.0047011417058428475,158218000.0
Raymond James Financial Inc,RJF,2025_Q4,32.0,105.0,0.5,32.0,0.405714897260274,43.97709637046308,3,2025_Q4,2.4,8.9,1.5,2.4,1.25,70.03076923076922,4,2025_Q4,64.49617346938774,4,1.4724284986109826,20.4,3.149722936968781,7.29950772699553,0.33953333689787135,0.007194284182477254,0.0,43374103.0
Schwab Charles Corp,SCHW,2025_Q4,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,1,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,42.09183673469388,3,0.9387859981864717,11.76,1.6018797962910694,7.352268965843356,0.07856033616515941,,0.0,253772000.0
Stifel Financial Corp,SF,2025_Q4,6.0,196.0,0.75,6.0,0.5595238095238095,47.99693366708386,3,2025_Q4,1.0,1.0,0.25,1.0,0.25,22.488461538461536,2,2025_Q4,65.86096938775509,4,1.8241522736457307,26.13,3.4700351507541765,6.875528125591742,1.1413903578441766,0.0,0.0,19412996.0
Synovus Financial Corp,SNV,2025_Q4,0.0,46.0,1.0,-8.0,0.5744047619047619,27.70425531914894,2,2025_Q4,0.6,3.6,1.0,0.0,1.0,34.42435897435898,2,2025_Q4,68.47576530612244,4,1.3872176939738488,15.05,3.5005696293699073,9.517655346404371,0.5824440787691132,7.042461432470004e-05,0.0,61204265.0
"SoFi Technologies, Inc.",SOFI,2025_Q4,161.0,467.0,2.0,154.0,0.8704238362705182,93.38648310387984,5,2025_Q4,1.0,4.0,0.75,0.0,0.75,38.59102564102564,2,2025_Q4,90.2281746031746,5,1.9606427346081465,14.17,6.145372616907692,12.94966826564989,0.09166797890111811,0.0,,46568135.0
SouthState Bank Corp,SSB,2025_Q4,144.0,176.0,1.25,136.0,0.7309027777777778,76.64480600750939,4,2025_Q4,1.2,5.4,1.0,-0.5999999999999999,1.0,45.83846153846154,3,2025_Q4,61.96215986394559,4,1.3951772655142562,9.84,4.312044180959118,14.394101352053582,0.6172274485037657,0.00046029533151576416,0.008122372164041406,67179734.0
State Street Corp,STT,2025_Q4,96.0,140.0,1.5,92.0,0.8572916666666667,70.24030037546935,4,2025_Q4,15.0,40.2,1.5,6.0,1.25,95.64102564102564,5,2025_Q4,30.573979591836732,2,0.832988205437747,10.62,1.1079569782888559,8.017888383363694,0.549368651917467,0.01503194287861706,0.0,360681000.0
Synchrony Financial,SYF,2025_Q4,108.0,140.0,1.0,108.0,0.4085648148148148,61.840675844806015,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,68.04846938775509,4,2.887351571667208,22.52,13.088377011252891,12.97952994692949,2.202119152339064,0.019318181818181818,0.0,112115000.0
Truist Financial Corp,TFC,2025_Q4,23.0,31.0,0.75,23.0,0.4782608695652174,34.169524405506884,2,2025_Q4,0.0,0.0,0.0,0.0,0.0,4.2,1,2025_Q4,44.09438775510204,3,1.0402951379494856,8.93,3.1771444652650507,11.718401020167965,0.6844794807522312,0.008596626872321744,5.250584127484183e-05,539519000.0
Umb Financial Corp,UMBF,2025_Q4,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,1,2025_Q4,0.0,12.0,1.0,-3.0,1.0,50.07179487179488,3,2025_Q4,51.06505102040816,3,1.0113511222390734,10.56,3.106066824257734,10.342929850413883,0.42048208733260484,0.0022032635499393853,0.0,72780016.0
Us Bancorp \De\,USB,2025_Q4,23.0,68.0,1.0,8.0,0.6007246376811595,43.680162703379224,3,2025_Q4,3.1,6.2,1.5,0.0,0.5,59.328205128205134,3,2025_Q4,38.78826530612245,2,1.1776047780853787,12.02,2.8550832628783196,10.051485329358965,1.4902905709048822,0.009084096652182289,8.076268350388923e-06,676125227.0
Valley National Bancorp,VLY,2025_Q4,10.0,28.0,0.75,10.0,0.5958333333333333,30.58410513141427,2,2025_Q4,0.0,10.8,0.5,0.0,1.0,43.943589743589754,3,2025_Q4,38.673469387755105,2,0.9870829912767239,7.71,3.155237297809837,12.777001610644149,0.8741907326612227,0.01663420994978617,0.0,64061947.0
Western Alliance Bancorporation,WAL,2025_Q4,45.0,70.0,0.75,45.0,0.6476190476190475,49.02215269086358,3,2025_Q4,2.0,4.0,0.75,1.0,0.75,45.437179487179485,3,2025_Q4,40.75255102040817,3,1.1029357259106718,12.98,3.588578258294532,8.428033375667622,2.4102979204376034,0.0002609440919957997,0.006756707019837795,92735703.0
Webster Financial Corp,WBS,2025_Q4,0.0,50.0,0.75,-14.0,0.5665024630541872,25.753191489361704,2,2025_Q4,1.0,22.8,2.5,-1.6,1.25,68.8525641025641,4,2025_Q4,58.798894557823125,3,1.2584898622517158,10.62,3.438153045037244,11.637882678414858,0.906450993178195,0.0,7.799418180359002e-05,83985466.0
Wells Fargo & Company/Mn,WFC,2025_Q4,6.0,28.0,0.75,6.0,0.7105263157894737,29.545869837296618,2,2025_Q4,3.8,11.4,2.0,2.0,1.75,84.11025641025641,5,2025_Q4,50.51020408163266,3,1.4074992133907964,14.45,3.2911983068430404,9.532653057865478,1.199168587637725,0.007245436456440869,0.0006599757694610355,1822693000.0
Wintrust Financial Corp,WTFC,2025_Q4,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,1,2025_Q4,2.9,5.8,1.0,2.9,0.5,55.21025641025642,3,2025_Q4,82.44260204081633,5,1.8809871137478906,16.75,3.9713225994522166,11.063600883735484,0.39117825674248535,0.00015835914821235039,0.0,9575716.0
"Zions Bancorporation, National Association",ZION,2025_Q4,15.0,48.0,1.25,5.0,0.85,42.49812265331664,3,2025_Q4,0.0,11.5,1.25,0.0,0.75,52.59743589743589,3,2025_Q4,47.51700680272109,3,1.0139184027452557,13.58,3.2385984128128125,8.068016733938693,0.5235506921808949,0.00011390155885249817,0.00479495748330828,88989689.0
