ticker,bank_name,period_year,period_quarter,period_label,weighted_hits,matched_chunks,matched_docs,family_breadth,source_breadth,asset_based_lending,direct_lending,fund_finance,private_capital,private_credit,private_debt,sponsor_finance,quarterly_score,quarterly_rating
COLB,"Columbia Banking System, Inc.",2024,4,2024_Q4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.279411764705884,2
COLB,"Columbia Banking System, Inc.",2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COLB,"Columbia Banking System, Inc.",2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COLB,"Columbia Banking System, Inc.",2025,3,2025_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
COLB,"Columbia Banking System, Inc.",2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2024,1,2024_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2024,2,2024_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2024,4,2024_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2025,3,2025_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DFS,Discover Financial Services,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
EWBC,East West Bancorp Inc,2024,1,2024_Q1,2.4,4.0,3.0,1.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,62.84090909090909,4
EWBC,East West Bancorp Inc,2024,2,2024_Q2,3.0,5.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,58.64583333333333,3
EWBC,East West Bancorp Inc,2024,3,2024_Q3,1.7999999999999998,3.0,3.0,1.0,1.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,42.800000000000004,3
EWBC,East West Bancorp Inc,2024,4,2024_Q4,1.7999999999999998,3.0,3.0,1.0,1.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,36.98529411764706,2
EWBC,East West Bancorp Inc,2025,1,2025_Q1,1.7999999999999998,3.0,3.0,1.0,1.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,54.625,3
EWBC,East West Bancorp Inc,2025,2,2025_Q2,2.4,4.0,4.0,1.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,45.089285714285715,3
EWBC,East West Bancorp Inc,2025,3,2025_Q3,3.6,5.0,4.0,2.0,2.0,1.7999999999999998,0.0,1.8,0.0,0.0,0.0,0.0,59.91071428571429,3
EWBC,East West Bancorp Inc,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FCNCA,First Citizens Bancshares Inc,2024,1,2024_Q1,2.4,3.0,3.0,2.0,2.0,0.6,0.0,1.8,0.0,0.0,0.0,0.0,85.3409090909091,5
FCNCA,First Citizens Bancshares Inc,2024,2,2024_Q2,2.1,3.0,1.0,2.0,1.0,1.2,0.0,0.9,0.0,0.0,0.0,0.0,62.604166666666664,4
FCNCA,First Citizens Bancshares Inc,2024,3,2024_Q3,2.1,3.0,1.0,2.0,1.0,1.2,0.0,0.9,0.0,0.0,0.0,0.0,60.90000000000001,4
FCNCA,First Citizens Bancshares Inc,2024,4,2024_Q4,4.8,5.0,2.0,2.0,1.0,1.2,0.0,3.6,0.0,0.0,0.0,0.0,72.72058823529412,4
FCNCA,First Citizens Bancshares Inc,2025,1,2025_Q1,3.3,4.0,3.0,2.0,1.0,0.6,0.0,2.7,0.0,0.0,0.0,0.0,83.75,5
FCNCA,First Citizens Bancshares Inc,2025,2,2025_Q2,10.6,11.0,9.0,4.0,2.0,0.6,0.0,5.4,0.6,4.0,0.0,0.0,93.21428571428572,5
FCNCA,First Citizens Bancshares Inc,2025,3,2025_Q3,11.5,12.0,10.0,4.0,2.0,0.6,0.0,6.3,0.6,4.0,0.0,0.0,95.89285714285715,5
FCNCA,First Citizens Bancshares Inc,2025,4,2025_Q4,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,28.07692307692308,2
FHN,First Horizon Corp,2024,1,2024_Q1,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,25.340909090909093,2
FHN,First Horizon Corp,2024,2,2024_Q2,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333332,2
FHN,First Horizon Corp,2024,3,2024_Q3,1.2,2.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,38.400000000000006,2
FHN,First Horizon Corp,2024,4,2024_Q4,3.4,5.0,4.0,2.0,1.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,61.39705882352942,4
FHN,First Horizon Corp,2025,1,2025_Q1,1.7999999999999998,3.0,2.0,1.0,2.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,64.625,4
FHN,First Horizon Corp,2025,2,2025_Q2,1.2,2.0,2.0,1.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,46.25,3
FHN,First Horizon Corp,2025,3,2025_Q3,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,15.982142857142858,1
FHN,First Horizon Corp,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FITB,Fifth Third Bancorp,2024,1,2024_Q1,2.2,3.0,3.0,2.0,1.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,70.3409090909091,4
FITB,Fifth Third Bancorp,2024,2,2024_Q2,2.2,3.0,3.0,2.0,1.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,64.89583333333333,4
FITB,Fifth Third Bancorp,2024,3,2024_Q3,2.2,3.0,3.0,2.0,2.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,73.1,4
FITB,Fifth Third Bancorp,2024,4,2024_Q4,2.2,3.0,3.0,2.0,1.0,1.2,0.0,0.0,0.0,1.0,0.0,0.0,52.5,3
FITB,Fifth Third Bancorp,2025,1,2025_Q1,1.2,2.0,2.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,47.75,3
FITB,Fifth Third Bancorp,2025,2,2025_Q2,1.2,2.0,2.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,36.25,2
FITB,Fifth Third Bancorp,2025,3,2025_Q3,1.2,2.0,2.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,26.785714285714285,2
FITB,Fifth Third Bancorp,2025,4,2025_Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FLG,"Flagstar Financial, Inc.",2024,1,2024_Q1,0.6,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,25.340909090909093,2
FLG,"Flagstar Financial, Inc.",2024,2,2024_Q2,1.7999999999999998,3.0,2.0,1.0,1.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,40.3125,3
FLG,"Flagstar Financial, Inc.",2024,3,2024_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FLG,"Flagstar Financial, Inc.",2024,4,2024_Q4,8.6,9.0,8.0,2.0,2.0,0.6,0.0,0.0,0.0,8.0,0.0,0.0,89.19117647058825,5
FLG,"Flagstar Financial, Inc.",2025,1,2025_Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FLG,"Flagstar Financial, Inc.",2025,2,2025_Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
