ticker,bank_name,cert,period_year,period_quarter,period_label,risk_report_date,CERT,REPDTE,NAME,ASSET,DEP,NETINC,ROA,ROE,EQ,NIMY,NCLNLS,NCLNLSR,P3ASSET,P9ASSET,COREDEP,DEPDOM,DEPINS,DEPUNINS,LNLSNET,equity_assets_ratio,deposit_assets_ratio,core_deposit_ratio
FHN,First Horizon Corp,4977,2025,4,2025_Q4,20251231,4977,20251231,FIRST HORIZON BANK,83572753,68096612,1108723,1.347792016143313,12.18,9188421,3.5434351663781003,622632,0.9642806433443957,82899,8444,60374002,68096612,40240682,28053974,63831091,10.994517555261103,81.48183415712056,88.6593330076392
FITB,Fifth Third Bancorp,6672,2024,1,2024_Q1,20240331,6672,20240331,FIFTH THIRD BANK NA,213681000,174985000,608000,1.1379135288654318,11.5,21102000,3.213951180421221,875000,0.7489899335752928,413000,162000,168773000,174856000,99344000,81942000,114506000,9.875468572311062,81.89076239815427,96.44998142697946
FITB,Fifth Third Bancorp,6672,2024,2,2024_Q2,20240630,6672,20240630,FIFTH THIRD BANK NA,212484000,172161000,1316000,1.23387917172579,12.4,21380000,3.218341888980504,768000,0.6557657003799684,380000,158000,167160000,172042000,95045000,83307000,114827000,10.061934075036238,81.0230417349071,97.09516092494816
FITB,Fifth Third Bancorp,6672,2024,3,2024_Q3,20240930,6672,20240930,FIFTH THIRD BANK NA,213583000,173045000,1974000,1.2334551197634256,12.14,23025000,3.2402288433426842,873000,0.7443724420190996,367000,179000,168728000,172890000,96867000,82362000,114975000,10.780352368868309,81.02002500198986,97.50527319483372
FITB,Fifth Third Bancorp,6672,2024,4,2024_Q4,20241231,6672,20241231,FIFTH THIRD BANK NA,212197000,171700000,2673000,1.2540899848270595,12.29,22064000,3.2604775224413842,1022000,0.8486187111291944,392000,192000,168659000,171553000,100712000,77589000,118079000,10.397884984236347,80.91537580644402,98.2288875946418
FITB,Fifth Third Bancorp,6672,2025,1,2025_Q1,20250331,6672,20250331,FIFTH THIRD BANK NA,211921000,169032000,600000,1.1317605006153948,10.66,22977000,3.3055904942864025,1187000,0.9676840800886976,457000,200000,166116000,168895000,101380000,74438000,120280000,10.842247818762653,79.76179802851063,98.27488286241658
FITB,Fifth Third Bancorp,6672,2025,2,2025_Q2,20250630,6672,20250630,FIFTH THIRD BANK NA,209311000,167916000,1305000,1.2361290689248519,11.4,23640000,3.373480160109511,1073000,0.872059947009964,351000,194000,164314000,167802000,100347000,74505000,120630000,11.29419858488087,80.22320852702438,97.85487982086282
FITB,Fifth Third Bancorp,6672,2025,3,2025_Q3,20250930,6672,20250930,FIFTH THIRD BANK NA,212207000,169671000,2026000,1.2777439938697028,11.64,24160000,3.4114895946250523,960000,0.776033498779364,417000,188000,166441000,169563000,98832000,75520000,121441000,11.385109822013412,79.95542088621016,98.09631581118752
FITB,Fifth Third Bancorp,6672,2025,4,2025_Q4,20251231,6672,20251231,FIFTH THIRD BANK NA,213730000,175203000,2848000,1.3442002103144712,12.12,24648000,3.4373333276214018,1062000,0.8607274849251119,443000,225000,171824000,175060000,101932000,78040000,121131000,11.53230711645534,81.97398587002293,98.07138005627758
FLG,"Flagstar Financial, Inc.",32541,2024,1,2024_Q1,20240331,32541,20240331,FLAGSTAR BANK NATIONAL ASSN,112840482,75528613,-306490,-1.0809096673582848,-13.3,9274828,2.47963765322429,1402793,1.683853630856918,346575,0,53398634,75528613,60218155,15954147,82093161,8.219415439930502,66.9339687861312,70.699873702169
