ticker,bank_name,period_year,period_quarter,period_label,score,rating,workstream
PNC,"Pnc Financial Services Group, Inc.",2025,4,2025_Q4,74.70588235294117,4,ai_activity
PNFP,Pinnacle Financial Partners Inc,2024,1,2024_Q1,0.0,1,ai_activity
PNFP,Pinnacle Financial Partners Inc,2024,2,2024_Q2,0.0,1,ai_activity
PNFP,Pinnacle Financial Partners Inc,2024,3,2024_Q3,0.0,1,ai_activity
PNFP,Pinnacle Financial Partners Inc,2024,4,2024_Q4,40.550000000000004,3,ai_activity
PNFP,Pinnacle Financial Partners Inc,2025,1,2025_Q1,0.0,1,ai_activity
PNFP,Pinnacle Financial Partners Inc,2025,2,2025_Q2,33.392857142857146,2,ai_activity
PNFP,Pinnacle Financial Partners Inc,2025,3,2025_Q3,0.0,1,ai_activity
PNFP,Pinnacle Financial Partners Inc,2025,4,2025_Q4,0.0,1,ai_activity
RF,Regions Financial Corp,2024,1,2024_Q1,0.0,1,ai_activity
RF,Regions Financial Corp,2024,2,2024_Q2,49.742378048780495,3,ai_activity
RF,Regions Financial Corp,2024,3,2024_Q3,0.0,1,ai_activity
RF,Regions Financial Corp,2024,4,2024_Q4,39.85,2,ai_activity
RF,Regions Financial Corp,2025,1,2025_Q1,62.77777777777778,4,ai_activity
RF,Regions Financial Corp,2025,2,2025_Q2,83.33333333333333,5,ai_activity
RF,Regions Financial Corp,2025,3,2025_Q3,89.70588235294117,5,ai_activity
RF,Regions Financial Corp,2025,4,2025_Q4,0.0,1,ai_activity
RJF,Raymond James Financial Inc,2024,1,2024_Q1,0.0,1,ai_activity
RJF,Raymond James Financial Inc,2024,2,2024_Q2,9.46951219512195,1,ai_activity
RJF,Raymond James Financial Inc,2024,3,2024_Q3,0.0,1,ai_activity
RJF,Raymond James Financial Inc,2024,4,2024_Q4,41.6,3,ai_activity
RJF,Raymond James Financial Inc,2025,1,2025_Q1,0.0,1,ai_activity
RJF,Raymond James Financial Inc,2025,2,2025_Q2,78.03571428571429,4,ai_activity
RJF,Raymond James Financial Inc,2025,3,2025_Q3,0.0,1,ai_activity
RJF,Raymond James Financial Inc,2025,4,2025_Q4,38.16176470588235,2,ai_activity
SCHW,Schwab Charles Corp,2024,1,2024_Q1,82.91666666666666,5,ai_activity
SCHW,Schwab Charles Corp,2024,2,2024_Q2,0.0,1,ai_activity
SCHW,Schwab Charles Corp,2024,3,2024_Q3,0.0,1,ai_activity
SCHW,Schwab Charles Corp,2024,4,2024_Q4,12.8,1,ai_activity
SCHW,Schwab Charles Corp,2025,1,2025_Q1,0.0,1,ai_activity
SCHW,Schwab Charles Corp,2025,2,2025_Q2,0.0,1,ai_activity
SCHW,Schwab Charles Corp,2025,3,2025_Q3,0.0,1,ai_activity
SCHW,Schwab Charles Corp,2025,4,2025_Q4,0.0,1,ai_activity
SF,Stifel Financial Corp,2024,1,2024_Q1,89.58333333333333,5,ai_activity
SF,Stifel Financial Corp,2024,2,2024_Q2,96.34146341463415,5,ai_activity
SF,Stifel Financial Corp,2024,3,2024_Q3,83.70370370370371,5,ai_activity
SF,Stifel Financial Corp,2024,4,2024_Q4,96.4,5,ai_activity
SF,Stifel Financial Corp,2025,1,2025_Q1,0.0,1,ai_activity
SF,Stifel Financial Corp,2025,2,2025_Q2,14.642857142857144,1,ai_activity
SF,Stifel Financial Corp,2025,3,2025_Q3,82.05882352941175,5,ai_activity
SF,Stifel Financial Corp,2025,4,2025_Q4,14.117647058823529,1,ai_activity
SNV,Synovus Financial Corp,2024,1,2024_Q1,0.0,1,ai_activity
SNV,Synovus Financial Corp,2024,2,2024_Q2,29.44817073170732,2,ai_activity
SNV,Synovus Financial Corp,2024,3,2024_Q3,0.0,1,ai_activity
SNV,Synovus Financial Corp,2024,4,2024_Q4,52.05,3,ai_activity
SNV,Synovus Financial Corp,2025,1,2025_Q1,27.685185185185183,2,ai_activity
SNV,Synovus Financial Corp,2025,2,2025_Q2,61.9047619047619,4,ai_activity
SNV,Synovus Financial Corp,2025,3,2025_Q3,36.1764705882353,2,ai_activity
SNV,Synovus Financial Corp,2025,4,2025_Q4,0.0,1,ai_activity
SOFI,"SoFi Technologies, Inc.",2024,1,2024_Q1,76.25,4,ai_activity
SOFI,"SoFi Technologies, Inc.",2024,2,2024_Q2,88.5,5,ai_activity
SOFI,"SoFi Technologies, Inc.",2024,3,2024_Q3,74.81481481481481,4,ai_activity
SOFI,"SoFi Technologies, Inc.",2024,4,2024_Q4,59.199999999999996,3,ai_activity
SOFI,"SoFi Technologies, Inc.",2025,1,2025_Q1,32.407407407407405,2,ai_activity
SOFI,"SoFi Technologies, Inc.",2025,2,2025_Q2,91.66666666666666,5,ai_activity
SOFI,"SoFi Technologies, Inc.",2025,3,2025_Q3,94.41176470588236,5,ai_activity
SOFI,"SoFi Technologies, Inc.",2025,4,2025_Q4,87.35294117647058,5,ai_activity
SSB,SouthState Bank Corp,2024,1,2024_Q1,0.0,1,ai_activity
SSB,SouthState Bank Corp,2024,2,2024_Q2,17.728658536585364,1,ai_activity
SSB,SouthState Bank Corp,2024,3,2024_Q3,0.0,1,ai_activity
SSB,SouthState Bank Corp,2024,4,2024_Q4,68.5,4,ai_activity
SSB,SouthState Bank Corp,2025,1,2025_Q1,27.685185185185183,2,ai_activity
SSB,SouthState Bank Corp,2025,2,2025_Q2,37.261904761904766,2,ai_activity
SSB,SouthState Bank Corp,2025,3,2025_Q3,31.98529411764706,2,ai_activity
SSB,SouthState Bank Corp,2025,4,2025_Q4,82.79411764705883,5,ai_activity
STT,State Street Corp,2024,1,2024_Q1,12.916666666666668,1,ai_activity
STT,State Street Corp,2024,2,2024_Q2,43.41158536585366,3,ai_activity
STT,State Street Corp,2024,3,2024_Q3,39.537037037037045,2,ai_activity
STT,State Street Corp,2024,4,2024_Q4,66.05000000000001,4,ai_activity
STT,State Street Corp,2025,1,2025_Q1,13.703703703703702,1,ai_activity
STT,State Street Corp,2025,2,2025_Q2,56.964285714285715,3,ai_activity
STT,State Street Corp,2025,3,2025_Q3,52.05882352941176,3,ai_activity
STT,State Street Corp,2025,4,2025_Q4,57.20588235294118,3,ai_activity
SYF,Synchrony Financial,2024,1,2024_Q1,0.0,1,ai_activity
SYF,Synchrony Financial,2024,2,2024_Q2,17.728658536585364,1,ai_activity
SYF,Synchrony Financial,2024,3,2024_Q3,0.0,1,ai_activity
SYF,Synchrony Financial,2024,4,2024_Q4,24.35,2,ai_activity
SYF,Synchrony Financial,2025,1,2025_Q1,0.0,1,ai_activity
SYF,Synchrony Financial,2025,2,2025_Q2,68.03571428571429,4,ai_activity
SYF,Synchrony Financial,2025,3,2025_Q3,0.0,1,ai_activity
SYF,Synchrony Financial,2025,4,2025_Q4,72.3529411764706,4,ai_activity
TFC,Truist Financial Corp,2024,1,2024_Q1,69.58333333333334,4,ai_activity
TFC,Truist Financial Corp,2024,2,2024_Q2,13.432926829268293,1,ai_activity
TFC,Truist Financial Corp,2024,3,2024_Q3,60.27777777777778,4,ai_activity
