ticker,bank_name,cert,ffiec_institution_name,period_year,period_quarter,period_label,commercial_loan_90_plus_dpd_numerator,commercial_loan_90_plus_dpd_denominator,commercial_loan_90_plus_dpd_rate,nondepository_requested_numerator,nondepository_requested_denominator,nondepository_requested_rate
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2025,1,2025_Q1,1163.0,4152741.0,0.00028005599193400214,0.0,6396420.0,0.0
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2025,2,2025_Q2,1201.0,4066789.0,0.0002953189850764325,0.0,3890301.0,0.0
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2025,3,2025_Q3,623.0,3922670.0,0.00015882039529198225,0.0,5433852.0,0.0
NTRS,Northern Trust Corp,913,"NORTHERN TRUST COMPANY, THE",2025,4,2025_Q4,5037.0,3861109.0,0.0013045474758676848,0.0,5033846.0,0.0
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2024,1,2024_Q1,73840.0,7831230.0,0.009428914742639407,,0.0,
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2024,2,2024_Q2,76121.0,8487366.0,0.008968742481471873,,20366.0,
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2024,3,2024_Q3,91825.0,8488769.0,0.010817233924023614,,0.0,
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2024,4,2024_Q4,105205.0,8354153.0,0.012593137808225442,0.0,0.0,
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2025,1,2025_Q1,126378.0,8585343.0,0.014720203956906555,0.0,0.0,
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2025,2,2025_Q2,185267.0,10816859.0,0.017127615327148113,14081.0,124766.0,0.112859272558229
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2025,3,2025_Q3,153761.0,10708013.0,0.014359433444841727,11975.0,144374.0,0.08294429744967931
ONB,Old National Bancorp,3832,OLD NATIONAL BANK,2025,4,2025_Q4,153133.0,10728457.0,0.014273534395486695,10034.0,309254.0,0.032445821234325184
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2024,1,2024_Q1,190.0,2201664.0,8.629836341966804e-05,,980288.0,
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2024,2,2024_Q2,100.0,2139862.0,4.6731985520561606e-05,,1430577.0,
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2024,3,2024_Q3,0.0,1924616.0,0.0,,1700971.0,
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2024,4,2024_Q4,1347.0,1904853.0,0.00070714118097302,0.0,1543470.0,0.0
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2025,1,2025_Q1,0.0,1883561.0,0.0,0.0,1468530.0,0.0
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2025,2,2025_Q2,332.0,1867080.0,0.00017781776892259572,19168.0,1703111.0,0.011254698020269965
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2025,3,2025_Q3,0.0,1874364.0,0.0,17506.0,1668477.0,0.010492203368700917
PB,Prosperity Bancshares Inc,16835,PROSPERITY BANK,2025,4,2025_Q4,0.0,1842028.0,0.0,52654.0,1648468.0,0.031941172045802525
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2024,1,2024_Q1,484133.0,126566195.0,0.0038251367199590696,,23742317.0,
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2024,2,2024_Q2,601512.0,129213598.0,0.004655175688242966,,23612916.0,
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2024,3,2024_Q3,652984.0,129041243.0,0.005060273636700787,,24324947.0,
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2024,4,2024_Q4,439358.0,127323007.0,0.0034507353411783624,0.0,22932151.0,0.0
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2025,1,2025_Q1,494214.0,126310921.0,0.003912678302773202,501.0,28982462.0,1.7286316117657638e-05
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2025,2,2025_Q2,410520.0,101079286.0,0.004061366242733452,15283.0,62469379.0,0.0002446478617948163
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2025,3,2025_Q3,535079.0,101046314.0,0.005295383659417799,22213.0,62490137.0,0.0003554640950779161
PNC,"Pnc Financial Services Group, Inc.",6384,"PNC BANK, NATIONAL ASSOCIATION",2025,4,2025_Q4,643323.0,103410583.0,0.006221055730823991,13680.0,65817513.0,0.00020784741593016435
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2024,1,2024_Q1,4124.0,9902306.0,0.00041646864881776023,,745297.0,
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2024,2,2024_Q2,3028.0,10265068.0,0.00029498099769041956,,736312.0,
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2024,3,2024_Q3,2783.0,10735275.0,0.00025923881782255226,,830130.0,
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2024,4,2024_Q4,2873.0,11455305.0,0.000250800829833863,0.0,791200.0,0.0
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2025,1,2025_Q1,2964.0,10978678.0,0.000269977860722393,0.0,1225809.0,0.0
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2025,2,2025_Q2,3261.0,11387170.0,0.0002863749289770856,0.0,1431647.0,0.0
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2025,3,2025_Q3,1972.0,12086853.0,0.0001631524764965703,0.0,1246677.0,0.0
PNFP,Pinnacle Financial Partners Inc,35583,PINNACLE BANK,2025,4,2025_Q4,2254.0,12525901.0,0.00017994713514021867,0.0,1347758.0,0.0
RF,Regions Financial Corp,12368,REGIONS BANK,2024,1,2024_Q1,547000.0,31392000.0,0.017424821610601427,,7890000.0,
RF,Regions Financial Corp,12368,REGIONS BANK,2024,2,2024_Q2,414000.0,31522000.0,0.013133684410887634,,8049000.0,
RF,Regions Financial Corp,12368,REGIONS BANK,2024,3,2024_Q3,420000.0,30854000.0,0.013612497569196863,,8352000.0,
RF,Regions Financial Corp,12368,REGIONS BANK,2024,4,2024_Q4,378000.0,26998000.0,0.014001037113860287,21000.0,12171000.0,0.0017254128666502342
RF,Regions Financial Corp,12368,REGIONS BANK,2025,1,2025_Q1,405000.0,26789000.0,0.015118145507484415,20000.0,11735000.0,0.0017043033659991478
RF,Regions Financial Corp,12368,REGIONS BANK,2025,2,2025_Q2,368000.0,27498000.0,0.01338279147574369,25000.0,11527000.0,0.002168821028888696
RF,Regions Financial Corp,12368,REGIONS BANK,2025,3,2025_Q3,479000.0,27242000.0,0.0175831436752074,44000.0,11519000.0,0.0038197760222241513
RF,Regions Financial Corp,12368,REGIONS BANK,2025,4,2025_Q4,411000.0,25585000.0,0.016064100058628104,56000.0,11912000.0,0.0047011417058428475
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2024,1,2024_Q1,45289.0,8191163.0,0.00552900729725437,,2852161.0,
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2024,2,2024_Q2,40798.0,7953552.0,0.0051295320631587,,2854179.0,
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2024,3,2024_Q3,40414.0,7985193.0,0.005061117495845122,,2777305.0,
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2024,4,2024_Q4,37921.0,6268364.0,0.006049584867758158,0.0,3491710.0,0.0
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2025,1,2025_Q1,37999.0,6643280.0,0.005719915463445768,0.0,3366341.0,0.0
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2025,2,2025_Q2,37922.0,6531354.0,0.005806146780590977,0.0,3476482.0,0.0
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2025,3,2025_Q3,31093.0,6505854.0,0.0047792342096825416,0.0,3691708.0,0.0
RJF,Raymond James Financial Inc,33893,RAYMOND JAMES BANK,2025,4,2025_Q4,43155.0,5998512.0,0.007194284182477254,0.0,4036268.0,0.0
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2024,1,2024_Q1,0.0,2111000.0,0.0,,314000.0,
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2024,2,2024_Q2,0.0,2352000.0,0.0,,353000.0,
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2024,3,2024_Q3,0.0,2398000.0,0.0,,380000.0,
SCHW,Schwab Charles Corp,57450,"CHARLES SCHWAB BANK, SSB",2024,4,2024_Q4,0.0,0.0,,0.0,391000.0,0.0
